2015.9.24 5:00,1.3,14,35.5,128.91
2015.9.29 22:53,1.5,12,35.47,128.87
2015.10.1 9:21,2.5,17,35.78,129.14
2015.10.1 14:06,2.1,18,35.78,129.14
2015.10.9 22:16,1.9,13,34.76,124.67
2015.10.11 0:55,2.1,19,33.3,127.02
2015.10.11 14:59,1.1,20,34.75,127.17
2015.10.17 0:02,1.5,19,35.69,129.01
2015.10.17 1:40,1.4,14,33.44,127.28
2015.10.22 6:52,1.6,15,37.03,124.65
2015.10.22 19:50,1.1,11,36.97,126.36
2015.10.25 1:00,1.2,9,35.96,127.43
2015.10.25 17:57,1.3,13,35.12,128.47
2015.10.26 5:37,1.2,12,36.76,128.38
2015.10.26 23:29,2.1,24,34.09,126.85
2015.10.30 15:17,2.9,17,35.74,129.37
2015.11.5 22:21,1.5,15,35.24,130.02
2015.11.7 23:09,1.4,18,35.75,129.34
2015.11.11 19:00,1.4,15,36.12,127.02
2015.11.13 20:04,2.6,18,35.8,129.42
2015.11.13 20:15,1.4,18,35.79,129.4
2015.11.14 8:09,1.1,7,34.97,127.39
2015.11.17 3:17,1.5,12,36.16,127.42
2015.11.18 20:04,1.3,13,35.34,126.59
2015.11.19 1:42,1.4,13,36.2,127.06
2015.11.21 6:36,1.2,5,35.64,127.87
2015.11.22 1:45,1.1,21,36.38,129.77
2015.11.23 18:54,1.4,16,36.78,128.79
2015.11.24 11:27,3.2,13,35.67,129.82
2015.11.24 14:10,2.4,14,35.69,129.75
2015.11.25 6:59,1.3,13,36.09,127.81
2015.11.26 21:42,1.4,12,36.41,128.73
2015.11.28 20:50,1.3,8,38.17,126.05
2015.11.28 23:33,1.4,6,33.52,127.14
2015.11.29 1:11,1.4,13,35.05,125.48
2015.11.29 21:24,1.1,15,36.53,127.99
2015.12.4 13:27,1.4,16,36.79,127.89
2015.12.5 8:30,1.2,19,35.81,128.33
2015.12.5 19:35,1.2,15,35.98,127.6
2015.12.5 19:40,1.5,16,37.18,125.46
2015.12.11 1:25,2.1,14,36.9,126.58
