음식의 이름,식품 제조사,중량,단위,알러지유발,칼로리,나트륨,탄수화물,당류,포화지방,단백질
빠닭,해태,120,1봉지,닭고기/대두/밀/우유,175,300,15,2,4,2
구운대파,해태,140,1봉지,대두/밀/우유,805,820,78,8,13,6
신당동 떡볶이,해태,192,1봉지,밀/대두/토마토,155,170,20,8,2.6,1
생생감자칩 레인보우,해태,30,1회제공량,대두/밀/조개류(바지락)/새우/게/쇠고기/오징어,165,80,17,1,3.3,2
맛동산 블랙,해태,30,1회제공량,밀/대두/계란/우유,155,20,19,8,1.2,2
빠새,해태,30,1회제공량,밀/대두/새우/오징어/게/우유/쇠고기,180,180,14,2,4,2
오사쯔,해태,30,1회제공량,밀/대두/우유,180,120,17,5,4,1
구운감자,해태,27,1곽,밀/우유/대두,130,210,19,2,2.9,1
맛볼 버터갈릭맛,해태,60,1봉지,계란/대두/밀/오징어/우유/토마토,350,220,35,5,7,3
에이스,해태,24,1봉지,밀/쇠고기/우유,130,120,15,2,3.7,2
에이스 뉴욕치즈케이크맛,해태,30,1회제공량,밀/쇠고기/우유/대두,165,150,19,4,4,2
버터링,해태,75,1봉지,밀/계란/우유/대두,410,10,43,15,13,5
계란과자,해태,70,1봉지,밀/계란/우유/대두,315,140,52,24,6,4
후렌치파이 초코스프레드,해태,12,1봉지,밀/쇠고기/우유/대두/땅콩,60,35,7,2,1.7,1
허니버터칩,해태,30,1회제공량,우유/대두/밀/조개류(굴),175,105,15,1,3.9,2
사브레,해태,100,100g,밀/계란/우유/대두,490,190,72,28,10,5.3
오예스,해태,30,1봉지,우유/밀/계란/대두,150,60,15,10,5,2
후렌치파이 딸기,해태,13,1봉지,밀/쇠고기/우유/대두,60,25,8,4,1.7,1
오예스 민트초코,해태,30,1봉지,우유/밀/계란/대두,145,90,16,10,4.2,2
아이비,해태,23,1봉지,밀/쇠고기,100,160,16,1,1.8,2
초코픽,해태,45,1컵,밀/쇠고기/우유/대두,220,130,31,14,3.7,4
샌드에이스 요거트크림,해태,17,1봉지,밀/쇠고기/우유/대두,90,65,11,5,2.5,1
롤리폴리 초코,해태,10,1봉,우유/밀/땅콩/대두/계란,45,20,7,5,1.1,1
미니뿌셔 바베큐맛,오뚜기,55,1봉지,밀/대두/계란/우유/쇠고기/돼지고기/닭고기,240,530,35,3,4,5
뿌셔뿌셔 불고기맛,오뚜기,95,1봉지,밀/대두/계란/우유/쇠고기/닭고기/토마토/조개류(굴/홍합포함),440,980,65,4,6,9
뿌셔뿌셔 바베큐맛,오뚜기,90,1봉지,밀/대두/계란/우유/쇠고기/돼지고기/닭고기,410,950,61,4,6,8
뿌셔뿌셔 떡볶이맛,오뚜기,90,1봉지,밀/대두/계란/우유/쇠고기,415,820,62,4,6,8
뿌셔뿌셔 양념치킨맛,오뚜기,90,1봉지,양념치킨맛분말,415,920,62,5,6,8
뿌셔뿌셔 스위트콘맛,오뚜기,90,1봉지,밀/대두/계란/우유/쇠고기,410,870,61,4,6,8
짱구,삼양,30,1회제공량,우유/밀,155,55,19,5,4,2
별뽀빠이,삼양,72,1봉지,우유/대두/밀,335,220,53,10,6,6
사또밥 갈릭버터,삼양,30,1회제공량,우유/대두/밀,170,170,17,3,4.4,1
두부볼,씨제이,100,100g,대두,275,440,10,2,2.8,7
꽃게랑 고추냉이,빙그레,100,100g,밀/대두/게/새우,520,760,60,4.6,9,7
꽃게랑 광천김,빙그레,100,100g,밀/대두/게/새우,550,829,63,5.7,8.6,7.1
꽃게랑 불짬뽕,빙그레,70,1봉지,밀/대두/우유/게/돼지고기/토마토/쇠고기/새우/오징어,370,540,43,2.7,7,5
사조 전자레인지용 팝콘 오리지날,사조대림,90,1봉,대두/쇠고기,430,400,55,0,12,8
사조 전자레인지용 팝콘 버터맛,사조대림,90,1봉,대두/쇠고기/우유,410,470,55,0,10,11
사조 전자레인지용 팝콘 달콤한맛,사조대림,90,1봉,대두/쇠고기,425,770,56,0,12,7
유기농 쌀떡튀밥,올가홀푸드,40,1봉지,,140,15,33,0,0,2
우리땅콘칩,산들촌,55,1봉지,밀,275,180,38,4,6,4
우리아이 착한 새우,산들촌,30,1회제공량,,140,160,22,2,0.3,2
푸름맘 새콤한 딸기 요거트 큐브,유기농산,16,1봉지,우유,65,10,14,9,0,1
김쌀과자,왕왕,100,100g,대두/밀,518,794,70.6,11.8,10.3,5.9
꼬꼬스낵 닭다리형,신흥물산,35,1봉지,우유/대두/밀/닭고기/쇠고기,170,170,23,4,1.5,3
보리맥건빵,금풍제과,85,1봉지,밀/대두/우유/아황산류,330,380,61,8,0,8
오란다,청우,100,100g,밀/대두/땅콩,449,98,76,41,4,7
참소라형 과자,청우,100,100g,밀/대두/우유/땅콩,505,300,63,17,11,7
플랑 딸기,청우,100,100g,우유/난류(계란)/대두/밀,415,177,70,32,4,4
브루느와 브라우니쿠키,청우,100,100g,밀/대두/계란/우유,457,159,61,30,12,6
그랑쉘 얼그레이 자몽,청우,190,100g,밀/대두/계란/우유,407,144,73,34,8,4
그랑쉘 사과,청우,100,100g,밀/대두/계란/우유,423,227,67,30,7,5
부드러운 와플,초록마을,20,1봉,계란/우유/밀,95,45,13,5,2.8,1
