신앙,54,0,1,13,3,0,0,1,0,0,6,0,1,0,0,63,2,2,1,1,1,10,1,1,0,40,0,1,1,4,21,9,0,1,33,0,2,12,6,0,0,31,0,0,95,109
기타음란행위,19,0,9,30,2,3,13,0,2,0,7,1,1,3,0,153,1,3,22,6,9,63,17,13,0,420,5,8,29,149,223,4,0,1,4,1,9,47,19,0,123,3,0,3,863,209
과실치사상,87,0,10,37,13,0,43,8,13,0,10,0,5,7,0,391,2,2,27,7,8,70,19,7,0,324,3,7,23,95,184,16,1,1,10,2,12,78,26,0,143,98,1,6,579,291
업무상과실치사상,135,2,53,445,7,1,34,9,4,2,5,37,3,3,0,762,7,3,40,1,15,176,10,2,19,1053,4,0,9,93,592,720,0,5,9,0,0,317,79,0,17,12,2,1,112,641
실화,201,0,16,50,7,2,28,1,5,0,5,0,4,3,0,268,2,2,88,6,9,20,5,9,0,300,1,2,24,98,189,6,0,3,13,0,4,41,13,0,83,45,0,2,354,168
명예,728,3,107,435,128,29,238,35,72,17,209,25,26,77,3,3632,63,89,171,69,30,870,172,64,14,3782,33,23,161,629,1892,247,33,84,247,204,138,904,390,0,2519,1076,4,52,5914,6873
권리행사방해,173,1,86,355,49,23,97,19,30,4,106,4,21,18,1,1557,6,23,80,45,17,368,20,35,6,1203,7,21,130,1091,1417,31,6,9,39,7,19,240,41,0,118,299,0,10,3179,2245
신용업무경매,762,1,144,904,107,41,196,23,70,14,220,10,32,81,6,3916,44,62,337,37,69,853,155,67,54,3766,17,27,173,2078,2053,105,18,82,160,33,65,619,167,0,283,584,0,12,6944,3918
주거침입,227,1,37,310,37,9,67,32,20,12,142,8,7,24,1,1243,8,11,120,14,23,200,44,37,2,1440,14,20,74,545,770,12,2,9,63,12,24,295,77,0,584,320,3,14,2945,1186
비밀침해,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,17,0,0,0,1,4,2,7,0,0,0,1,6,5,0,1,5,0,0,12,42
유기,3,0,2,2,0,0,3,0,1,0,0,0,0,0,0,19,4,0,0,0,2,4,0,0,0,16,0,5,5,2,15,0,0,0,0,0,0,49,12,0,8,10,0,0,56,29
교통방해,367,0,7,88,6,1,11,5,0,0,21,0,3,6,0,232,3,6,7,1,2,68,5,2,0,138,3,0,7,68,120,0,4,2,15,0,2,15,26,0,6,36,0,0,232,220
공무방해,283,3,83,299,34,24,103,12,41,5,75,3,13,73,4,1717,13,25,201,25,53,489,47,44,10,2201,11,25,109,1090,1108,19,5,8,51,18,26,370,141,0,389,173,3,15,3819,1546
도주와범인은닉,17,1,0,12,4,0,6,2,4,3,3,0,0,0,0,119,0,1,6,1,1,28,0,2,0,130,0,7,9,54,90,1,2,0,1,1,0,17,6,0,44,25,0,2,191,190
위증과증거인멸,160,1,17,107,11,3,33,7,9,5,52,8,4,3,0,511,8,14,12,7,2,67,12,4,0,391,14,12,16,101,183,23,7,14,40,5,9,98,126,0,56,118,0,1,865,1287
무고,193,1,46,142,25,14,61,17,23,3,54,15,10,18,1,844,11,16,13,9,1,87,9,12,1,471,7,20,30,97,277,45,7,16,39,11,19,173,111,0,161,205,0,2,1467,2191
공안을해하는죄,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,21,0,0,2,5,8,0,0,0,3,0,0,1,4,0,6,1,0,0,106,77
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,33
음용수에관한죄,5,0,0,3,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4
일수와수리에관한죄,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
