200308,7371,3047,1776,250,12444,1808,7627,638,2089,31,251,12444
200309,7120,2760,1950,247,12078,1776,7305,669,2047,41,241,12078
200310,7867,3036,2428,322,13653,1988,8324,896,2046,95,304,13653
200311,7815,3019,3216,316,14366,1911,8533,1332,2140,153,297,14366
200312,8466,2997,4280,411,16153,1959,9443,1918,2254,267,312,16153
200401,7974,2840,4776,344,15933,1846,8958,2259,2301,272,297,15933
200402,7591,2568,4385,346,14890,1772,7894,2390,2329,220,286,14890
200403,8066,2925,3764,361,15116,1830,8555,1958,2266,189,318,15116
200404,7501,2818,2799,256,13373,1731,7541,1464,2203,105,330,13373
200405,7701,2916,2144,279,13040,1848,7623,1050,2115,65,339,13040
200406,7410,3083,1908,209,12609,1763,7530,813,2161,32,311,12609
200407,7586,2855,1647,321,12409,1893,7222,732,2200,32,331,12409
200408,7716,3025,1896,274,12911,1776,7768,689,2343,23,310,12911
200409,7481,2913,1922,251,12567,1722,7612,696,2205,35,297,12567
200410,8102,2798,2345,320,13564,2026,8035,913,2130,87,373,13564
200411,7977,2783,2952,245,13956,1854,8000,1344,2247,150,360,13956
200412,8545,3112,4030,397,16084,2041,9205,1884,2340,239,376,16084
200501,8286,2849,4931,421,16487,1896,8932,2536,2515,300,308,16487
200502,7218,2520,4635,381,14754,1631,7711,2490,2365,265,293,14754
200503,8409,3046,4101,421,15977,1843,8936,2242,2411,224,321,15977
200504,7803,2927,2946,302,13977,1643,7894,1650,2354,115,322,13977
200505,7695,3032,2090,264,13081,1863,7500,1101,2229,61,328,13081
200506,7545,3222,1871,328,12965,1672,7780,853,2306,32,301,12965
200507,7595,2879,1737,292,12502,1731,7282,761,2354,28,320,12502
200508,8001,3120,1902,306,13329,1880,7937,710,2446,25,300,13329
200509,8175,2862,1940,304,13281,2072,7731,729,2349,33,288,13281
200510,7756,2929,2291,298,13274,2008,7536,942,2250,91,366,13274
200511,8328,3003,3132,322,14785,1965,8393,1452,2380,161,365,14785
200512,8769,3144,4760,457,17131,1951,9446,2345,2629,317,385,17131
200601,8457,2951,5128,391,16926,1867,8818,2835,2737,285,322,16926
200602,7732,2653,4410,325,15120,1693,7774,2451,2578,247,306,15120
200603,8401,3034,3813,347,15595,1781,8492,2172,2517,211,336,15595
200604,7713,3009,3040,318,14080,1704,7697,1660,2479,129,339,14080
200605,8163,3157,2211,278,13810,1915,7928,1153,2352,58,346,13810
200606,7864,3313,1856,265,13298,1890,7728,896,2375,36,318,13298
200607,8014,2588,1786,268,12656,1681,7324,826,2408,35,336,12656
200608,8231,3277,1938,301,13747,1887,8078,812,2568,26,316,13747
200609,8194,3008,2034,264,13500,1996,7774,811,2531,35,304,13500
200610,8163,3083,2082,287,13615,1978,7997,891,2263,60,385,13615
200611,8584,3135,3196,357,15272,2050,8597,1532,2487,163,382,15272
200612,9060,3315,4427,452,17255,2020,9457,2341,2696,263,402,17255
200701,9044,2943,4811,381,17179,1991,9027,2683,2799,282,351,17179
200702,8443,2710,4201,388,15742,1917,8163,2396,2674,218,334,15742
200703,8556,3176,3802,356,15889,1919,8592,2160,2592,209,368,15889
200704,8803,3045,3108,309,15265,1977,8321,1811,2612,132,373,15265
200705,8682,3156,2220,319,14376,2003,8187,1210,2497,62,381,14376
200706,8238,3221,1885,298,13642,1889,7867,948,2512,35,350,13642
200707,8851,2997,1773,346,13967,2093,8005,860,2567,33,371,13967
200708,8517,3181,1962,297,13958,1961,8017,838,2724,28,348,13958
200709,8479,3025,2026,289,13820,1838,8118,820,2639,38,334,13820
200710,8674,3301,2514,331,14820,2132,8530,1094,2511,85,423,14820
200711,9180,3139,3339,378,16036,2180,8797,1718,2690,184,418,16036
200712,9400,3165,4300,458,17323,2155,9097,2416,2886,271,439,17323
200801,9458,2906,5062,388,17813,2214,9012,2798,3021,321,370,17813
200802,8609,2706,4817,387,16519,2001,8161,2711,2939,289,352,16519
200803,9205,3106,3948,385,16645,2143,8732,2263,2863,198,389,16645
200804,8537,3094,2779,314,14724,2087,7760,1602,2727,111,395,14724
