2019-02-01-00-00-00,뮤지컬,1927,34138,179039,91816,10887,3340,1542,32596,158069,108323,15640,4946,70652,2055,34588,185077,87063,9506,2858,78,250495,28,321147
2019-02-01-00-00-00,발레/무용,87,860,2679,2551,433,102,0,626,1913,3512,383,279,1007,101,901,2810,2387,442,72,85,5705,19,6712
2019-02-01-00-00-00,스포츠,359,8872,7561,7919,1353,319,541,8552,7473,8104,1261,451,11607,214,9125,7629,7772,1427,214,56,14773,12,26380
2019-02-01-00-00-00,연극,20786,462899,278145,144535,49113,11311,9185,418717,334993,143858,44859,15179,328709,26683,485135,249528,144922,51240,9281,66,638081,38,966790
2019-02-01-00-00-00,오페라,1048,10491,15078,20586,8919,2096,2253,6008,16528,17279,13896,2253,20376,402,12895,14304,22361,6247,2014,65,37841,17,58217
2019-02-01-00-00-00,전시/행사,23526,222554,344447,201733,21559,5820,15411,188372,337315,232965,34920,10820,172141,25657,231571,346332,193618,18034,4508,79,647580,26,819721
2019-02-01-00-00-00,체험,27900,225201,184723,110971,18638,4345,16809,216796,176261,133782,22411,5603,182950,33045,229145,188668,100337,16866,3716,68,388770,33,571720
2019-02-01-00-00-00,콘서트,7230,49129,50307,29256,7754,1819,6445,52053,52591,23873,8234,2284,53828,7681,47441,48969,32355,7463,1557,63,91652,21,145480
2019-02-01-00-00-00,클래식,1435,14995,17520,13100,3268,1317,1570,14169,17515,11458,4936,1983,14458,1384,15325,17520,13756,2602,1053,71,36661,35,51635
2019-01-01-00-00-00,강좌,11379,226959,360594,232252,44016,6880,11908,186913,369415,254745,51690,7409,370474,11026,255627,354243,216198,38459,6439,57,502786,39,882080
2019-01-01-00-00-00,국내숙박,32465,641912,1256823,1001922,229185,52073,35037,562517,1179677,1062995,293473,80681,1060745,31179,680806,1294752,971707,197684,37930,67,2153635,39,3214380
2019-01-01-00-00-00,국내여행,18619,272392,415829,448378,175572,48134,16275,220534,389348,467687,208121,77235,468928,19860,298459,429345,438724,159298,33515,66,910272,40,1379200
2019-01-01-00-00-00,국악/전통예술,186,3577,11082,10310,2540,877,346,3248,9327,9430,4145,2074,7428,131,3688,11684,10613,1988,463,74,21140,22,28568
2019-01-01-00-00-00,뮤지컬,2234,36424,202477,102968,13006,3206,1873,37613,174879,120621,19815,5440,72056,2306,36100,209430,98500,11277,2630,80,288223,29,360279
2019-01-01-00-00-00,발레/무용,131,1200,4044,3579,313,80,0,1317,3262,3262,1004,502,1122,148,1185,4147,3620,222,24,88,8224,31,9346
2019-01-01-00-00-00,스포츠,268,5675,8112,12052,834,133,474,6888,6810,11797,872,238,11372,116,4792,9065,12238,810,57,57,15433,12,27076
2019-01-01-00-00-00,연극,30579,553475,314708,162375,53937,13315,14782,506083,374851,162601,53260,16700,361085,38027,576156,285934,162262,54276,11622,68,767305,38,1128390
2019-01-01-00-00-00,오페라,1769,11732,22127,16821,10841,2214,2365,14208,19730,15786,10258,3157,18341,1539,10762,23064,17221,11070,1847,72,47163,16,65504
2019-01-01-00-00-00,전시/행사,26536,236162,396939,230285,22588,5693,19099,218165,384084,250210,35534,11110,174458,28281,240385,399969,225602,19558,4407,81,743744,27,918202
2019-01-01-00-00-00,체험,29926,270564,239748,120730,18353,5547,16983,273715,227696,132372,25612,8492,205440,35404,269195,244884,115800,15271,4246,70,479360,33,684800
2019-01-01-00-00-00,콘서트,8122,52885,53448,28245,7620,1780,7575,56688,54923,23013,7803,2099,56277,8426,50649,52566,31348,7514,1597,63,95823,21,152100
2019-01-01-00-00-00,클래식,1434,16131,21523,18321,4052,1447,1466,17339,20611,15616,5404,2479,17616,1428,15666,21882,19365,3530,1044,72,45299,35,62915
2019-07-01-00-00-00,강좌,16104,149099,130457,94045,21639,4785,10986,135076,132995,107403,22637,7033,153968,19184,157547,128917,86014,21056,3412,63,262162,39,416130
2019-07-01-00-00-00,구기스포츠,3687,36204,69886,61747,14520,5025,4643,40999,74261,50800,14176,6190,143288,783,21741,56685,94742,15532,1548,25,47763,34,191050
2019-07-01-00-00-00,국내숙박,37020,833848,1754829,1490273,328212,70879,40180,730915,1621648,1564764,443335,113768,1399529,35214,881252,1815325,1455962,275843,51015,69,3115081,39,4514610
2019-07-01-00-00-00,국내여행,16117,337931,541210,551088,223208,63600,13517,272771,509496,580895,261680,94621,623873,17503,374324,558886,534451,201719,46271,64,1109107,40,1732980
